Date,Total,Pos,Neg,Pos_Per
2020-03-12,984,424,560,43.08943089430895
2020-03-13,2051,914,1137,44.56362749878108
2020-03-14,1060,443,617,41.79245283018868
2020-03-15,947,400,547,42.23864836325237
2020-03-16,1080,476,604,44.074074074074076
2020-03-17,1546,615,931,39.78007761966365
2020-03-18,1062,431,631,40.58380414312618
2020-03-19,1397,559,838,40.01431639226915
2020-03-20,1175,442,733,37.61702127659575
2020-03-21,1455,620,835,42.61168384879725
2020-03-22,1311,421,890,32.11289092295957
2020-03-23,1116,429,687,38.44086021505376
2020-03-24,963,431,532,44.75597092419522
2020-03-25,1128,432,696,38.297872340425535
2020-03-26,1360,589,771,43.30882352941177
2020-03-27,1135,505,630,44.49339207048458
2020-03-28,1188,414,774,34.84848484848485
2020-03-29,1119,414,705,36.99731903485255
2020-03-30,820,339,481,41.34146341463414
2020-03-31,1102,450,652,40.83484573502722
2020-04-01,910,345,565,37.91208791208791
2020-04-02,859,352,507,40.9778812572759
2020-04-03,966,399,567,41.30434782608695
2020-04-04,877,363,514,41.391106043329536
2020-04-05,752,297,455,39.494680851063826
2020-04-06,810,276,534,34.074074074074076
2020-04-07,506,203,303,40.11857707509881
2020-04-08,782,309,473,39.514066496163686
2020-04-09,681,264,417,38.76651982378855
2020-04-10,616,228,388,37.01298701298701
2020-04-11,509,209,300,41.06090373280943
2020-04-12,282,97,185,34.39716312056738
2020-04-13,172,73,99,42.44186046511628
2020-04-14,605,231,374,38.18181818181819
2020-04-15,665,266,399,40.0
2020-04-16,728,278,450,38.18681318681318
2020-04-17,707,261,446,36.916548797736915
2020-04-18,604,240,364,39.735099337748345
2020-04-19,565,212,353,37.52212389380531
2020-04-20,505,182,323,36.039603960396036
2020-04-21,505,198,307,39.20792079207921
2020-04-22,580,221,359,38.103448275862064
2020-04-23,582,185,397,31.78694158075601
2020-04-24,602,229,373,38.03986710963455
2020-04-25,523,164,359,31.35755258126195
2020-04-26,406,133,273,32.758620689655174
2020-04-27,479,162,317,33.82045929018789
2020-04-28,413,135,278,32.68765133171913
2020-04-29,504,210,294,41.66666666666667
2020-04-30,433,185,248,42.725173210161664
