Date,Total,Pos,Neg,Pos_Per
2020-03-12,560,213,347,38.035714285714285
2020-03-13,1482,647,835,43.65721997300945
2020-03-14,724,298,426,41.16022099447514
2020-03-15,736,305,431,41.440217391304344
2020-03-16,912,353,559,38.70614035087719
2020-03-17,1270,502,768,39.52755905511811
2020-03-18,1155,489,666,42.33766233766234
2020-03-19,1742,718,1024,41.21699196326062
2020-03-20,1629,622,1007,38.182934315531
2020-03-21,3475,1298,2177,37.35251798561151
2020-03-22,3823,1551,2272,40.57023280146482
2020-03-23,1855,712,1143,38.38274932614556
2020-03-24,1994,774,1220,38.81644934804413
2020-03-25,1462,540,922,36.935704514363884
2020-03-26,2338,975,1363,41.702309666381524
2020-03-27,1661,651,1010,39.19325707405177
2020-03-28,1957,731,1226,37.3530914665304
2020-03-29,1574,638,936,40.53367217280813
2020-03-30,1332,561,771,42.11711711711711
2020-03-31,1491,632,859,42.38765928906774
2020-04-01,1295,489,806,37.76061776061776
2020-04-02,1183,444,739,37.531699070160606
2020-04-03,1233,488,745,39.57826439578264
2020-04-04,1453,557,896,38.3344803854095
2020-04-05,2199,934,1265,42.473851750795816
2020-04-06,1577,555,1022,35.19340519974635
2020-04-07,1537,539,998,35.068314899154196
2020-04-08,1278,516,762,40.375586854460096
2020-04-09,1249,527,722,42.1937550040032
2020-04-10,1288,462,826,35.869565217391305
2020-04-11,1076,451,625,41.91449814126394
2020-04-12,838,318,520,37.94749403341289
2020-04-13,859,277,582,32.246798603026775
2020-04-14,1279,510,769,39.87490226739641
2020-04-15,1208,405,803,33.526490066225165
2020-04-16,1661,570,1091,34.31667670078266
2020-04-17,1462,624,838,42.6812585499316
2020-04-18,1455,488,967,33.53951890034364
2020-04-19,1279,506,773,39.56215793588741
2020-04-20,1031,414,617,40.15518913676043
2020-04-21,999,339,660,33.933933933933936
2020-04-22,1097,453,644,41.29443938012762
2020-04-23,1013,336,677,33.16880552813426
2020-04-24,1248,519,729,41.58653846153847
2020-04-25,1185,498,687,42.025316455696206
2020-04-26,1216,505,711,41.52960526315789
2020-04-27,1174,404,770,34.41226575809199
2020-04-28,972,365,607,37.5514403292181
2020-04-29,931,326,605,35.01611170784103
2020-04-30,946,367,579,38.79492600422833
