Date,Total,Pos,Neg,Pos_Per
2020-03-12,106,53,53,50.0
2020-03-13,307,119,188,38.762214983713356
2020-03-14,114,42,72,36.84210526315789
2020-03-15,197,78,119,39.59390862944163
2020-03-16,181,78,103,43.0939226519337
2020-03-17,283,104,179,36.74911660777385
2020-03-18,190,68,122,35.78947368421053
2020-03-19,304,104,200,34.21052631578947
2020-03-20,284,104,180,36.61971830985916
2020-03-21,590,217,373,36.77966101694915
2020-03-22,517,193,324,37.33075435203095
2020-03-23,390,110,280,28.205128205128204
2020-03-24,267,93,174,34.831460674157306
2020-03-25,252,104,148,41.269841269841265
2020-03-26,344,110,234,31.976744186046513
2020-03-27,283,127,156,44.87632508833922
2020-03-28,304,82,222,26.973684210526315
2020-03-29,255,96,159,37.64705882352941
2020-03-30,246,100,146,40.65040650406504
2020-03-31,198,72,126,36.36363636363637
2020-04-01,176,48,128,27.27272727272727
2020-04-02,182,76,106,41.75824175824176
2020-04-03,189,66,123,34.92063492063492
2020-04-04,187,78,109,41.711229946524064
2020-04-05,162,70,92,43.20987654320987
2020-04-06,221,86,135,38.91402714932127
2020-04-07,192,75,117,39.0625
2020-04-08,125,47,78,37.6
2020-04-09,148,46,102,31.08108108108108
2020-04-10,138,42,96,30.434782608695656
2020-04-11,145,52,93,35.86206896551724
2020-04-12,111,39,72,35.13513513513514
2020-04-13,107,30,77,28.037383177570092
2020-04-14,124,48,76,38.70967741935484
2020-04-15,127,48,79,37.79527559055118
2020-04-16,173,67,106,38.72832369942196
2020-04-17,182,49,133,26.923076923076923
2020-04-18,129,41,88,31.782945736434108
2020-04-19,127,43,84,33.85826771653544
2020-04-20,107,35,72,32.71028037383177
2020-04-21,93,30,63,32.25806451612903
2020-04-22,130,54,76,41.53846153846154
2020-04-23,141,56,85,39.71631205673759
2020-04-24,167,65,102,38.92215568862276
2020-04-25,141,56,85,39.71631205673759
2020-04-26,147,56,91,38.095238095238095
2020-04-27,107,32,75,29.906542056074763
2020-04-28,91,28,63,30.76923076923077
2020-04-29,66,23,43,34.84848484848485
2020-04-30,122,45,77,36.885245901639344
